spotify_id,daily_rank,daily_movement,weekly_movement,country,popularity,is_explicit,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
4eMKD8MRroxCqugpsxCCNb,33,6,-4,HN,86,TRUE,232131,0.805,0.707,6,-3.758,0,0.0353,0.142,3.71E-05,0.563,0.744,122.014,4
6Sq7ltF9Qa7SNFBsV5Cogx,34,3,-4,HN,89,TRUE,178567,0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68E-05,0.0933,0.425,92.005,4
5Y0ZwhwMEQ7NIb5PeAp0YI,35,7,15,HN,69,FALSE,171333,0.687,0.782,8,-5.571,0,0.072,0.629,3.15E-05,0.106,0.72,89.978,4
3tt9i3Hhzq84dPS8H7iSiJ,36,-2,12,HN,85,FALSE,162637,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98E-06,0.218,0.85,124.98,4
0T2pB7P1VdXPhLdQZ488uH,37,3,-17,HN,85,TRUE,171880,0.709,0.56,4,-4.867,0,0.171,0.034,0,0.315,0.541,170.082,4
0fea68AdmYNygeTGI4RC18,38,-2,-14,HN,86,FALSE,242573,0.754,0.646,7,-5.795,1,0.317,0.152,1.85E-05,0.108,0.429,176.089,4
5ixdmTpCmH5diBA1j154wN,39,-1,-2,HN,84,TRUE,165582,0.795,0.815,1,-3.322,1,0.0821,0.0368,3.82E-05,0.227,0.334,94.991,4
69Ej1xrGjOcHvIMtMKxK0G,40,-7,-2,HN,84,FALSE,204600,0.817,0.714,4,-7.501,0,0.141,0.184,0.000132,0.042,0.714,94.001,4
1zsPaEkglFvxjAhrM8yhpr,41,2,-10,HN,87,FALSE,196600,0.901,0.589,1,-6.713,0,0.289,0.00302,0.000237,0.0992,0.399,98.002,4
3TYOH7ta0101NYssoH5GlU,42,4,-2,HN,83,TRUE,202635,0.822,0.487,1,-5.815,1,0.223,0.385,6.55E-05,0.115,0.193,134.046,4
2TJKY0WSFufZOzbRNgl6zE,43,-2,0,HN,90,TRUE,194769,0.793,0.476,5,-10.515,0,0.0406,0.132,0,0.115,0.578,129.992,4
